name,municipality,province,region,code
"Poblacion","Mansalay","Oriental Mindoro","MIMAROPA","1705207013"
"Roma","Mansalay","Oriental Mindoro","MIMAROPA","1705207014"
"Santa Brigida","Mansalay","Oriental Mindoro","MIMAROPA","1705207016"
"Santa Maria","Mansalay","Oriental Mindoro","MIMAROPA","1705207017"
"Santa Teresita","Mansalay","Oriental Mindoro","MIMAROPA","1705207020"
"Villa Celestial","Mansalay","Oriental Mindoro","MIMAROPA","1705207018"
"Wasig","Mansalay","Oriental Mindoro","MIMAROPA","1705207019"
"Waygan","Mansalay","Oriental Mindoro","MIMAROPA","1705207021"
"Adrialuna","Naujan","Oriental Mindoro","MIMAROPA","1705208001"
"Andres Ilagan","Naujan","Oriental Mindoro","MIMAROPA","1705208025"
"Antipolo","Naujan","Oriental Mindoro","MIMAROPA","1705208002"
"Apitong","Naujan","Oriental Mindoro","MIMAROPA","1705208003"
"Arangin","Naujan","Oriental Mindoro","MIMAROPA","1705208004"
"Aurora","Naujan","Oriental Mindoro","MIMAROPA","1705208005"
"Bacungan","Naujan","Oriental Mindoro","MIMAROPA","1705208006"
"Bagong Buhay","Naujan","Oriental Mindoro","MIMAROPA","1705208007"
"Balite","Naujan","Oriental Mindoro","MIMAROPA","1705208068"
"Bancuro","Naujan","Oriental Mindoro","MIMAROPA","1705208008"
"Banuton","Naujan","Oriental Mindoro","MIMAROPA","1705208069"
"Barcenaga","Naujan","Oriental Mindoro","MIMAROPA","1705208010"
"Bayani","Naujan","Oriental Mindoro","MIMAROPA","1705208011"
"Buhangin","Naujan","Oriental Mindoro","MIMAROPA","1705208012"
"Caburo","Naujan","Oriental Mindoro","MIMAROPA","1705208070"
"Concepcion","Naujan","Oriental Mindoro","MIMAROPA","1705208013"
"Dao","Naujan","Oriental Mindoro","MIMAROPA","1705208014"
"Del Pilar","Naujan","Oriental Mindoro","MIMAROPA","1705208015"
"Estrella","Naujan","Oriental Mindoro","MIMAROPA","1705208016"
"Evangelista","Naujan","Oriental Mindoro","MIMAROPA","1705208017"
"Gamao","Naujan","Oriental Mindoro","MIMAROPA","1705208018"
"General Esco","Naujan","Oriental Mindoro","MIMAROPA","1705208019"
"Herrera","Naujan","Oriental Mindoro","MIMAROPA","1705208020"
"Inarawan","Naujan","Oriental Mindoro","MIMAROPA","1705208021"
"Kalinisan","Naujan","Oriental Mindoro","MIMAROPA","1705208022"
"Laguna","Naujan","Oriental Mindoro","MIMAROPA","1705208023"
"Mabini","Naujan","Oriental Mindoro","MIMAROPA","1705208024"
"Magtibay","Naujan","Oriental Mindoro","MIMAROPA","1705208071"
"Mahabang Parang","Naujan","Oriental Mindoro","MIMAROPA","1705208026"
"Malaya","Naujan","Oriental Mindoro","MIMAROPA","1705208027"
"Malinao","Naujan","Oriental Mindoro","MIMAROPA","1705208028"
"Malvar","Naujan","Oriental Mindoro","MIMAROPA","1705208029"
"Masagana","Naujan","Oriental Mindoro","MIMAROPA","1705208030"
"Masaguing","Naujan","Oriental Mindoro","MIMAROPA","1705208031"
"Melgar A","Naujan","Oriental Mindoro","MIMAROPA","1705208032"
"Melgar B","Naujan","Oriental Mindoro","MIMAROPA","1705208066"
"Metolza","Naujan","Oriental Mindoro","MIMAROPA","1705208033"
"Montelago","Naujan","Oriental Mindoro","MIMAROPA","1705208034"
"Montemayor","Naujan","Oriental Mindoro","MIMAROPA","1705208035"
"Motoderazo","Naujan","Oriental Mindoro","MIMAROPA","1705208036"
"Mulawin","Naujan","Oriental Mindoro","MIMAROPA","1705208037"
"Nag-Iba I","Naujan","Oriental Mindoro","MIMAROPA","1705208038"
"Nag-Iba II","Naujan","Oriental Mindoro","MIMAROPA","1705208039"
"Pagkakaisa","Naujan","Oriental Mindoro","MIMAROPA","1705208040"
"Paitan","Naujan","Oriental Mindoro","MIMAROPA","1705208072"
"Paniquian","Naujan","Oriental Mindoro","MIMAROPA","1705208042"
"Pinagsabangan I","Naujan","Oriental Mindoro","MIMAROPA","1705208043"
"Pinagsabangan II","Naujan","Oriental Mindoro","MIMAROPA","1705208044"
"Piñahan","Naujan","Oriental Mindoro","MIMAROPA","1705208045"
"Poblacion I","Naujan","Oriental Mindoro","MIMAROPA","1705208046"
"Poblacion II","Naujan","Oriental Mindoro","MIMAROPA","1705208047"
"Poblacion III","Naujan","Oriental Mindoro","MIMAROPA","1705208048"
"Sampaguita","Naujan","Oriental Mindoro","MIMAROPA","1705208049"
"San Agustin I","Naujan","Oriental Mindoro","MIMAROPA","1705208050"
"San Agustin II","Naujan","Oriental Mindoro","MIMAROPA","1705208051"
"San Andres","Naujan","Oriental Mindoro","MIMAROPA","1705208052"
"San Antonio","Naujan","Oriental Mindoro","MIMAROPA","1705208053"
"San Carlos","Naujan","Oriental Mindoro","MIMAROPA","1705208054"
"San Isidro","Naujan","Oriental Mindoro","MIMAROPA","1705208055"
"San Jose","Naujan","Oriental Mindoro","MIMAROPA","1705208056"
"San Luis","Naujan","Oriental Mindoro","MIMAROPA","1705208057"
"San Nicolas","Naujan","Oriental Mindoro","MIMAROPA","1705208058"
"San Pedro","Naujan","Oriental Mindoro","MIMAROPA","1705208059"
"Santa Cruz","Naujan","Oriental Mindoro","MIMAROPA","1705208067"
"Santa Isabel","Naujan","Oriental Mindoro","MIMAROPA","1705208060"
